budget,genres,popularity,release_date,revenue,runtime,title,vote_average
41000000,"[{""id"": 35, ""name"": ""Comedy""}]",25.391899,2009,91636986,105,"I Love You, Man",6.5
40000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",29.854773,2001,141069860,114,Shallow Hal,5.7
40000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 36, ""name"": ""History""}]",26.82041,1991,205405498,189,JFK,7.5
40000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]",17.61292,2006,138259062,99,Big Momma's House 2,5.4
57000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 10749, ""name"": ""Romance""}]",21.021809,2001,147845033,123,The Mexican,5.8
20000000,"[{""id"": 35, ""name"": ""Comedy""}]",52.571674,2009,136267476,102,17 Again,6.1
40000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",34.519636,2014,196781193,109,The Other Woman,6.2
40000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}]",32.478077,2009,186167139,82,The Final Destination,5.4
40000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 18, ""name"": ""Drama""}]",48.445978,2015,165478348,141,Bridge of Spies,7.2
40000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 10752, ""name"": ""War""}]",24.012986,2001,91753202,106,Behind Enemy Lines,6
40000000,"[{""id"": 35, ""name"": ""Comedy""}]",17.869443,2010,90029656,109,Get Him to the Greek,5.9
50000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 35, ""name"": ""Comedy""}]",14.231899,2004,170128460,107,Shall We Dance?,5.9
40000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}]",23.088571,1998,54682547,110,Small Soldiers,6.2
40000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",19.833664,1997,87840042,96,Spawn,5
35000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",26.595983,2002,75395048,131,The Count of Monte Cristo,7.3
40000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",26.072228,2011,85412898,119,The Lincoln Lawyer,7
30000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",38.643914,2011,130786397,113,Unknown,6.5
40000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",74.440708,2006,109676311,130,The Prestige,8
42000000,"[{""id"": 35, ""name"": ""Comedy""}]",82.185281,2014,107670357,108,Horrible Bosses 2,6.1
40000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 878, ""name"": ""Science Fiction""}]",18.14218,2013,74597643,89,Escape from Planet Earth,5.7
40000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",41.570047,2006,120175290,139,Apocalypto,7.3
40000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",23.331459,1987,191185897,130,The Living Daylights,6.2
40000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",47.649554,2010,126248813,107,Predators,6
0,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",7.519433,1986,0,116,Legal Eagles,5.8
40000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}]",32.908414,2004,92913171,96,Secret Window,6.4
40000000,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",29.88736,2006,114830111,99,The Lake House,6.5
43000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",29.105407,2005,91974818,104,The Skeleton Key,6.4
0,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",16.394452,2012,51854875,105,The Odd Life of Timothy Green,6.5
40000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",19.574774,2008,84601681,101,Made of Honor,6
40000000,"[{""id"": 10402, ""name"": ""Music""}, {""id"": 18, ""name"": ""Drama""}]",14.199933,2014,67347013,134,Jersey Boys,6.8
40000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",12.229516,1997,45916769,135,The Rainmaker,6.7
40000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",27.303608,2003,141591324,98,Gothika,5.8
36000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 9648, ""name"": ""Mystery""}]",3.698276,1997,74000000,155,Amistad,6.8
40000000,"[{""id"": 12, ""name"": ""Adventure""}]",7.021871,1992,0,106,Medicine Man,5.8
40000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 27, ""name"": ""Horror""}]",39.381913,2007,41797066,94,Aliens vs Predator: Requiem,4.9
40000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",14.398356,1994,0,95,Ri¢hie Ri¢h,5.4
65000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",8.680334,2000,0,103,Autumn in New York,5.7
40000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",17.659032,2007,145896422,96,Music and Lyrics,6.2
40000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}]",43.151268,2011,97552050,104,Paul,6.5
40000000,"[{""id"": 35, ""name"": ""Comedy""}]",15.283444,2012,41863726,95,The Guilt Trip,5.4
40000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}]",35.21926,2011,97138686,111,Scream 4,6.1
40000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 9648, ""name"": ""Mystery""}]",25.580272,1999,96618699,123,8MM,6.1
38000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}]",10.794175,1991,34416893,140,The Doors,6.7
40000000,"[{""id"": 35, ""name"": ""Comedy""}]",72.641296,2014,126069509,97,Sex Tape,5.3
40000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",3.415534,2000,36037909,94,Hanging Up,5
47000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}]",38.555482,2011,157887643,92,Final Destination 5,5.9
0,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 10749, ""name"": ""Romance""}]",6.786117,1999,0,102,Mickey Blue Eyes,5.3
40000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",24.313684,2000,55707411,122,Pay It Forward,7
30000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",9.965073,2005,50451307,103,Fever Pitch,5.9
40000000,"[{""id"": 35, ""name"": ""Comedy""}]",15.055732,2008,0,102,Drillbit Taylor,5.5
0,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 37, ""name"": ""Western""}]",32.808675,2014,0,116,A Million Ways to Die in the West,5.8
25000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",8.178203,1994,48063435,108,The Shadow,5.4
40000000,"[{""id"": 18, ""name"": ""Drama""}]",31.066874,2011,55247881,129,Extremely Loud & Incredibly Close,6.9
40000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",22.491388,2010,58785180,102,Morning Glory,6.1
40000000,"[{""id"": 18, ""name"": ""Drama""}]",12.885985,2005,46442528,117,Get Rich or Die Tryin',6.3
40000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",7.832337,2000,30199105,117,The Art of War,5.6
40000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",10.433667,2005,31670620,135,Rent,6.7
40000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",3.321949,2000,0,107,Bless the Child,4.9
75000000,"[{""id"": 35, ""name"": ""Comedy""}]",4.842626,1999,29000000,90,The Out-of-Towners,5
40000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}]",13.210898,1996,49627779,96,The Island of Dr. Moreau,4.6
40000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}]",3.296933,2001,27053815,104,The Musketeer,5.2
35000000,"[{""id"": 18, ""name"": ""Drama""}]",22.939557,2008,0,115,The Other Boleyn Girl,6.4
40000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",19.372805,2001,65754228,119,Sweet November,6.4
40000000,"[{""id"": 27, ""name"": ""Horror""}]",13.445697,2007,62771059,99,The Reaping,5.4
500000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",17.002096,1973,3000000,110,Mean Streets,7.2
40000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10752, ""name"": ""War""}]",4.516953,1994,24332324,128,Renaissance Man,5.9
40000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",33.785969,2011,60965854,108,Colombiana,6.5
40000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10751, ""name"": ""Family""}]",16.059443,1998,38172500,86,Quest for Camelot,6.9
40000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",3.476966,2002,22433915,108,City By The Sea,5.7
0,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",5.778724,1999,0,128,At First Sight,5.9
40000000,"[{""id"": 28, ""name"": ""Action""}]",7.360793,2004,46546197,84,Torque,4.7
0,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",3.621837,1996,0,111,City Hall,6
45000000,"[{""id"": 18, ""name"": ""Drama""}]",14.513305,1995,20350754,128,Showgirls,4.9
40000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",22.364549,2006,60474340,123,Marie Antoinette,6.5
40000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",6.90894,1995,0,101,Kiss of Death,5.7
63600000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",4.494788,2000,19412993,102,Get Carter,4.8
42000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 18, ""name"": ""Drama""}]",47.559928,2012,180274123,113,The Impossible,7
55000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",2.410546,1987,14375181,107,Ishtar,4.2
40000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",41.258956,2009,46471023,87,Fantastic Mr. Fox,7.5
40000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",8.980846,2002,16872671,103,Life or Something Like It,5.7
40000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",7.222985,1992,14358033,99,Memoirs of an Invisible Man,5.7
10000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",73.720244,2001,173921954,122,Amélie,7.8
0,"[{""id"": 35, ""name"": ""Comedy""}]",10.0403,2004,0,91,New York Minute,5.5
60000000,"[{""id"": 35, ""name"": ""Comedy""}]",15.219263,2004,13395939,103,Alfie,5.6
40000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",8.303696,2012,24719215,107,Big Miracle,6.6
38000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",4.746085,1999,28121100,106,The Deep End of the Ocean,5.9
40000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",6.756886,2002,18902015,101,FearDotCom,3.2
40000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",16.424807,2009,28169671,109,Cirque du Freak: The Vampire's Assistant,5.5
40000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}]",15.590001,2003,19322135,89,Duplex,5.9
0,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10402, ""name"": ""Music""}]",5.483671,2008,0,103,Soul Men,6.3
0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",1.630541,1980,0,115,Raise the Titanic,5.2
45000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",14.566664,1999,10667893,82,Universal Soldier: The Return,4.2
33000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",28.353517,2009,20645327,108,Pandorum,6.5
40000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",9.579975,2001,0,102,Impostor,6.1
40000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",2.911819,2002,10959475,93,Extreme Ops,5
0,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",10.844882,2001,0,88,Just Visiting,4.8
50000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",51.502884,2007,32017803,107,Sunshine,7
40000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",13.119133,2012,22044277,91,A Thousand Words,6
40000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 10751, ""name"": ""Family""}]",4.238482,2008,0,94,Delgo,5.4
40000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",26.935458,2015,13644292,115,The Gunman,5.5
40000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 10751, ""name"": ""Family""}]",16.282962,2006,23937870,93,Stormbreaker,5.1
20000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",31.690456,2007,117760134,105,Disturbia,6.6
20000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 18, ""name"": ""Drama""}]",17.842246,1995,7563728,107,Hackers,6.2
0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 18, ""name"": ""Drama""}]",8.048305,2007,0,101,The Hunting Party,6.6
30000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",14.188982,1994,0,111,The Hudsucker Proxy,7.1
40000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",6.884467,2007,0,126,The Warlords,6.3
25000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]",8.212018,2005,0,112,Nomad: The Warrior,4.3
39200000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 18, ""name"": ""Drama""}]",64.238688,2013,86758912,126,Snowpiercer,6.7
25000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",17.375562,2011,0,90,A Monster in Paris,6.5
0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]",6.7698,2004,0,90,The Last Shot,5.9
15000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",44.690107,1994,94000000,102,The Crow,7.3
40000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10752, ""name"": ""War""}, {""id"": 36, ""name"": ""History""}]",16.254032,2015,100000000,159,Baahubali: The Beginning,7.5
39000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 14, ""name"": ""Fantasy""}]",37.492928,2009,101229792,107,The Time Traveler's Wife,6.7
0,"[{""id"": 35, ""name"": ""Comedy""}]",18.678415,2007,69485490,102,Because I Said So,5.8
39000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",27.908783,2012,35287788,87,Frankenweenie,6.6
39000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",45.388937,2005,38869464,119,Serenity,7.4
39000000,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]",2.817364,2004,6614280,106,Against the Ropes,4.5
39000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",22.164202,1983,75850624,125,Superman III,5.3
40000000,"[{""id"": 35, ""name"": ""Comedy""}]",21.362949,2013,44907260,113,Grudge Match,6
80341000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}]",14.8375,2008,127814609,150,Red Cliff,7.1
30000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",18.256028,2002,180622424,108,Sweet Home Alabama,6
38000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",22.332927,2009,205298907,96,The Ugly Truth,6.4
0,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",5.417787,1996,0,90,Sgt. Bilko,5.5
38000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}]",24.085144,2002,119723358,100,Spy Kids 2: The Island of Lost Dreams,5.3
38000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",14.779041,1994,120000000,118,Star Trek: Generations,6.4
3860000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",19.947265,2013,64076736,130,The Grandmaster,6.3
38000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",16.801218,2011,114156230,120,Water for Elephants,6.7
40000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 16, ""name"": ""Animation""}]",5.057695,2014,0,88,Dragon Nest: Warriors' Dawn,6.8
50000000,"[{""id"": 18, ""name"": ""Drama""}]",20.825781,1999,73956241,146,The Hurricane,7.2
38000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",11.500783,2002,51801187,114,Enough,6.2
35000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",13.932203,2001,0,123,Heartbreakers,5.7
38000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",41.258487,2015,107597242,94,Paul Blart: Mall Cop 2,5
53000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",6.454634,2001,29700000,102,Angel Eyes,5.6
38000000,"[{""id"": 35, ""name"": ""Comedy""}]",5.257009,2001,0,99,Joe Somebody,5.5
38000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",30.359164,1999,58401898,133,The Ninth Gate,6.3
38000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",3.426555,1996,17380126,118,Extreme Measures,5.7
57000000,"[{""id"": 10402, ""name"": ""Music""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",11.60815,2001,16991902,105,Rock Star,6
10000000,"[{""id"": 18, ""name"": ""Drama""}]",18.664624,2009,47536959,110,Precious,6.9
38000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}]",10.047579,1996,10300000,129,White Squall,6.3
15000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 878, ""name"": ""Science Fiction""}]",52.731379,1982,19629760,109,The Thing,7.8
38000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",46.630062,2013,98337295,119,Riddick,6.2
37000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",4.131546,1997,6482195,118,Switchback,5.8
0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 37, ""name"": ""Western""}]",5.641978,2001,0,110,Texas Rangers,5.4
55000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",23.465539,2008,17869048,90,City of Ember,6.2
32000000,"[{""id"": 18, ""name"": ""Drama""}]",25.682509,2012,28258060,137,The Master,7
38000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",6.760922,2007,5410749,93,Virgin Territory,4.3
40000000,"[{""id"": 18, ""name"": ""Drama""}]",3.87823,2008,9793496,130,The Express,7.1
38000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",57.889964,2016,109906372,112,The 5th Wave,5.6
37000000,"[{""id"": 18, ""name"": ""Drama""}]",57.773583,2015,173567581,133,Creed,7.3
37000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",24.218358,2010,154026136,125,The Town,7
40000000,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",27.009723,2012,79700000,110,What to Expect When You're Expecting,5.8
37000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",31.941347,2008,163720069,96,Burn After Reading,6.5
37000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",14.353279,2008,100076342,96,Nim's Island,5.6
38000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}]",33.003828,2013,90247624,123,Rush,7.7
37000000,"[{""id"": 18, ""name"": ""Drama""}]",30.993736,1999,48451803,188,Magnolia,7.5
